time,v
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,7.512623998853895
181,6.62692387898763
182,5.688652992248535
183,4.744402567545573
184,3.812824355231391
185,2.9321522182888455
186,2.120412720574273
187,1.3820611106024847
188,0.7603491677178277
189,0.2378209431966146
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.12215402391221789
203,0.2385075887044271
204,0.36447101169162327
205,0.5151436063978407
206,0.7047372394137912
207,0.9475549062093099
208,1.2273179160224066
209,1.52201599544949
210,3.092805544535319
211,3.116657998826769
212,3.1204122967190213
213,3.116336398654514
214,3.0818012025621204
215,3.0287758509318032
216,2.9477824105156794
217,2.833543883429633
218,2.718094719780816
219,2.576673295762804
220,2.4474143981933594
221,2.2984102037217884
222,2.157990667555067
223,2.033048735724555
224,1.913244989183214
225,1.797005335489909
226,1.708023813035753
227,1.6370630264282227
228,1.6018014483981662
229,1.5899605221218533
230,1.6147200266520183
231,1.6527075237698026
232,1.7053699493408203
233,1.7530261145697699
234,1.8077945709228516
235,1.8691603342692058
236,1.9447845882839627
237,2.0493618647257485
238,2.179385291205512
239,2.3271078533596463
240,0.23077752855088976
241,0.35735342237684464
242,0.5433146158854166
243,0.8071438471476237
244,1.1736869812011719
245,1.6244665781656902
246,2.162951363457574
247,2.760863833957248
248,3.4335671530829535
249,4.1377650366889105
250,4.859259393480089
251,5.569595760769314
252,6.230569415622288
253,6.8443648020426435
254,7.391079796685113
255,7.858821021185981
256,8.241116205851236
257,8.538512653774685
258,8.750757641262478
259,8.8876830206977
260,8.9486206902398
261,8.946330812242296
262,8.894122441609701
263,8.812162081400553
264,8.725865152147081
265,8.648419380187988
266,8.588615523444282
267,8.571084870232475
268,8.58553515540229
269,8.607094552781847
270,9.149676428900825
271,9.146337509155273
272,9.15088971455892
273,9.159059524536133
274,9.171205096774631
275,9.16747940911187
276,9.136340883043077
277,9.031809700859917
278,8.854080306159126
279,8.567384613884819
280,8.16441535949707
281,7.656043900383843
282,7.030283610026042
283,6.312882635328505
284,5.539602703518337
285,4.72563001844618
286,3.903547922770182
287,3.107876247829861
288,2.3619874318440757
289,1.6997819476657443
290,1.1304118898179796
291,0.6608666314019097
292,0.29480086432562935
293,0.01872910393608941
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.058160358005099826
303,0.15229754977756077
304,0.23687786526150173
305,0.3159523010253906
306,0.39600690205891925
307,0.46820640563964844
308,0.5831003189086914
309,0.7087294260660807
310,0.8889945348103842
311,1.102908452351888
312,1.377491421169705
313,1.7201259401109483
314,2.107642491658529
315,2.5340996848212347
316,3.0078803168402777
317,3.5104301240709095
318,4.051961898803711
319,4.621986813015408
320,5.2255641089545355
321,5.8390553792317705
322,6.4563873079088
323,7.060136795043945
324,7.651650640699598
325,8.220328225029839
326,8.765430980258518
327,9.304254319932726
328,9.834516313340929
329,10.353926552666557
330,10.20127402411567
331,10.677135255601671
332,11.142011218600803
333,11.58171017964681
334,12.005478541056315
335,12.394447326660156
336,12.756052017211914
337,13.07803683810764
338,13.367127312554253
339,13.61843744913737
340,13.827233844333225
341,14.008268780178494
342,14.145531124538845
343,14.247078365749783
344,14.311614566379124
345,14.324946933322483
346,14.2671267191569
347,14.140321943495008
348,13.939268324110243
349,13.668249977959526
350,13.318678538004557
351,12.906642489963108
352,12.439889907836914
353,11.937616136338976
354,11.412783728705513
355,10.876835717095268
356,10.337938732571072
357,9.8130554623074
358,9.31611696879069
359,8.853662808736166
360,9.258073170979818
361,9.29954104953342
362,9.371051788330078
363,9.471389982435438
364,9.608847300211588
365,9.763465457492405
366,9.921213785807291
367,10.027121437920464
368,10.076971054077148
369,10.02176178826226
370,9.84659088982476
371,9.55624050564236
372,9.123613569471571
373,8.568382263183594
374,7.910775078667535
375,7.148923873901367
376,6.302990383572048
377,5.409216350979275
378,4.501930342780219
379,3.625591066148546
380,2.797608905368381
381,2.0380534066094294
382,1.3639402389526367
383,0.7729890611436632
384,0.27767181396484375
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.06148868136935764
396,0.29664569430881077
397,0.5399492051866319
398,0.8145989312065972
399,1.067837609185113
400,1.3334973653157551
401,1.5559196472167969
402,1.7578866746690538
403,1.950961748758952
404,2.1158239576551647
405,2.24967532687717
406,2.374664412604438
407,2.4783510631985135
408,2.580643230014377
409,2.6655695173475475
410,2.750335269504123
411,2.8099377950032554
412,2.8501982159084744
413,2.85614808400472
414,2.8461170196533203
415,2.818957964579264
416,2.7840953403049045
417,2.764831648932563
418,2.758180300394694
