GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),
Tue Feb 02 18:23:26 GMT+09:00 2021,02-2월-2021 18:23:31.551,127.04158008098602,37.5603017443791,3.3899999,28.5,43.0,274.6,1.16837049,1.28329206,9.71447372,0.02494067,
Tue Feb 02 18:23:26 GMT+09:00 2021,02-2월-2021 18:23:32.547,127.04158008098602,37.5603017443791,3.3899999,28.5,43.0,274.6,1.8579005,0.21547815,10.44709873,0.10087603,
Tue Feb 02 18:23:29 GMT+09:00 2021,02-2월-2021 18:23:33.547,127.04125871881843,37.560161389410496,5.15,12.0,64.0,281.9,2.29364514,1.02471828,9.60553741,0.0310902,
Tue Feb 02 18:23:31 GMT+09:00 2021,02-2월-2021 18:23:34.548,127.04119057394564,37.560189636424184,3.97,6.5,55.0,291.7,2.29364514,1.02471828,9.60553741,0.0310902,
Tue Feb 02 18:23:32 GMT+09:00 2021,02-2월-2021 18:23:35.546,127.04117833636701,37.56019826978445,2.73,6.0,55.0,285.3,2.29364514,1.02471828,9.60553741,0.0310902,
Tue Feb 02 18:23:33 GMT+09:00 2021,02-2월-2021 18:23:36.547,127.04118495807052,37.560223499313,3.54,5.5,53.0,330.4,2.29364514,1.02471828,9.60553741,0.0310902,
Tue Feb 02 18:23:34 GMT+09:00 2021,02-2월-2021 18:23:37.547,127.04120557755232,37.5602663308382,4.91,5.5,52.0,5.0,-1.48799634,2.39180756,10.10113716,0.08796591,
Tue Feb 02 18:23:35 GMT+09:00 2021,02-2월-2021 18:23:38.546,127.04123390838504,37.560311844572425,6.48,5.5,50.0,13.3,-3.31836367,-3.21660995,9.63067627,0.10790271,
Tue Feb 02 18:23:36 GMT+09:00 2021,02-2월-2021 18:23:39.547,127.04128076322377,37.560374373570085,7.21,5.0,47.0,13.3,-3.62482142,4.73692799,4.04260969,-0.24648535,
Tue Feb 02 18:23:37 GMT+09:00 2021,02-2월-2021 18:23:40.547,127.04131294973195,37.56044239271432,8.34,4.5,45.0,15.8,-6.99585724,-0.61171854,7.75481939,0.08546275,
Tue Feb 02 18:23:38 GMT+09:00 2021,02-2월-2021 18:23:41.547,127.04134010709822,37.56052495446056,9.5,4.5,45.0,12.5,-0.28969839,8.39407158,6.79953289,0.12056845,
Tue Feb 02 18:23:39 GMT+09:00 2021,02-2월-2021 18:23:42.547,127.04135913401842,37.56060114596039,8.139999,4.5,46.0,11.0,-0.36391866,8.89924812,4.32991362,0.02852017,
Tue Feb 02 18:23:40 GMT+09:00 2021,02-2월-2021 18:23:43.547,127.04138050787151,37.56068550981581,8.26,4.0,47.0,10.9,0.4369418,11.22880554,6.13633919,0.32415587,
Tue Feb 02 18:23:41 GMT+09:00 2021,02-2월-2021 18:23:44.547,127.0413945056498,37.56076857447624,8.41,3.5,47.0,11.8,2.28287125,8.78791714,4.959589,0.07362229,
Tue Feb 02 18:23:42 GMT+09:00 2021,02-2월-2021 18:23:45.548,127.04142007045448,37.56085289642215,8.55,3.5,46.0,11.6,1.14801967,8.14746857,5.47314501,0.02634245,
Tue Feb 02 18:23:43 GMT+09:00 2021,02-2월-2021 18:23:46.548,127.04143691807985,37.560925064608455,8.349999,3.5,46.0,11.7,0.90021986,7.89368296,6.28118801,0.05140358,
Tue Feb 02 18:23:44 GMT+09:00 2021,02-2월-2021 18:23:47.547,127.04145443625748,37.56099534686655,7.6099997,3.5,45.0,10.6,0.66798228,7.83382797,6.341043,0.04863173,
Tue Feb 02 18:23:45 GMT+09:00 2021,02-2월-2021 18:23:48.547,127.04146960750222,37.5610610190779,7.8599997,3.5,45.0,10.2,0.70150107,7.7428484,4.43884993,-0.06841123,
Tue Feb 02 18:23:46 GMT+09:00 2021,02-2월-2021 18:23:49.548,127.0414880476892,37.56113536655903,8.099999,3.5,45.0,10.9,1.41138196,7.68658447,5.10683203,-0.02934855,
Tue Feb 02 18:23:47 GMT+09:00 2021,02-2월-2021 18:23:50.548,127.04150564968586,37.561198943294585,7.54,3.5,46.0,10.8,1.48799634,6.57687187,7.07127476,0.01502371,
Tue Feb 02 18:23:48 GMT+09:00 2021,02-2월-2021 18:23:51.547,127.04152501188219,37.56125057581812,5.65,3.5,46.0,11.5,1.16238487,6.8988924,6.70017338,0.00646281,
Tue Feb 02 18:23:49 GMT+09:00 2021,02-2월-2021 18:23:52.547,127.04153280705214,37.56128833629191,3.72,3.5,47.0,6.3,1.60770643,7.83023643,5.94959116,0.03476804,
Tue Feb 02 18:23:50 GMT+09:00 2021,02-2월-2021 18:23:53.547,127.04154152423143,37.561307614669204,1.4399999,3.5,48.0,5.8,0.22385786,6.25844336,7.21971512,-0.00675666,
Tue Feb 02 18:23:51 GMT+09:00 2021,02-2월-2021 18:23:54.547,127.04154420644045,37.56131775677204,0.31,4.0,49.0,4.1,0.93254155,7.5860281,8.91600704,0.21610707,
Tue Feb 02 18:23:52 GMT+09:00 2021,02-2월-2021 18:23:55.547,127.04154445789754,37.561324001289904,0.19,3.5,49.0,3.5,0.10295067,7.98226833,5.31512785,-0.00337464,
Tue Feb 02 18:23:53 GMT+09:00 2021,02-2월-2021 18:23:56.546,127.0415464695543,37.56132680922747,0.13,3.5,50.0,3.1,2.28526545,7.73446846,6.3338604,0.06434792,
Tue Feb 02 18:23:54 GMT+09:00 2021,02-2월-2021 18:23:57.547,127.04155141487718,37.56133041344583,0.0,3.5,49.0,0.0,0.5351041,7.21253252,5.51504374,-0.05386442,
Tue Feb 02 18:23:55 GMT+09:00 2021,02-2월-2021 18:23:58.547,127.04155141487718,37.56133041344583,0.0,4.0,49.0,0.0,2.26611185,7.68897867,6.4523735,0.06795281,
Tue Feb 02 18:23:56 GMT+09:00 2021,02-2월-2021 18:23:59.547,127.04155141487718,37.56133041344583,0.0,4.0,49.0,0.0,1.61967742,7.02698183,7.01740503,0.04469794,
Tue Feb 02 18:23:57 GMT+09:00 2021,02-2월-2021 18:24:00.547,127.04155141487718,37.56133041344583,0.0,3.5,49.0,0.0,1.46405435,7.24485445,6.99825144,0.05658883,
Tue Feb 02 18:23:58 GMT+09:00 2021,02-2월-2021 18:24:01.547,127.04155141487718,37.56133041344583,0.0,4.0,49.0,0.0,1.63643682,7.08204842,7.10000515,0.05476719,
Tue Feb 02 18:23:59 GMT+09:00 2021,02-2월-2021 18:24:02.547,127.04155141487718,37.56133041344583,0.0,4.0,49.0,0.0,1.44490075,7.27119064,6.55652142,0.05142595,
Tue Feb 02 18:24:00 GMT+09:00 2021,02-2월-2021 18:24:03.547,127.0415602158755,37.56133070681244,0.14,4.0,49.0,3.4,2.26371765,7.68059921,6.25964022,0.05504662,
Tue Feb 02 18:24:01 GMT+09:00 2021,02-2월-2021 18:24:04.547,127.04156398773193,37.56133020389825,0.19999999,4.0,49.0,3.3,0.8810662,8.15225697,5.23611927,0.01073825,
Tue Feb 02 18:24:02 GMT+09:00 2021,02-2월-2021 18:24:05.547,127.04157002270222,37.56133527494967,0.7,4.0,48.0,16.0,0.54228669,8.44913769,5.49828434,0.04807264,
Tue Feb 02 18:24:03 GMT+09:00 2021,02-2월-2021 18:24:06.548,127.04157387837768,37.56134684197605,1.24,4.0,48.0,4.6,1.13604867,9.16021538,5.26365232,0.10215312,
Tue Feb 02 18:24:04 GMT+09:00 2021,02-2월-2021 18:24:07.546,127.04157329164445,37.5613715685904,2.73,4.0,48.0,349.2,0.01915361,7.78594398,5.72812748,0.0043273,
GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),
Tue Feb 02 18:24:05 GMT+09:00 2021,02-2월-2021 18:24:09.303,127.04158117063344,37.561408071778715,4.22,4.0,48.0,354.7,-0.142455,5.48272181,1.62446582,-0.39791244,
