GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),
Tue Feb 02 16:59:36 GMT+09:00 2021,02-2월-2021 16:59:39.067,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,1.33357036,5.28160906,8.72686481,0.06767136,
Tue Feb 02 16:59:37 GMT+09:00 2021,02-2월-2021 16:59:40.066,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,1.73100781,5.04578018,8.13549709,0.01068628,
Tue Feb 02 16:59:38 GMT+09:00 2021,02-2월-2021 16:59:41.066,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,1.48320794,5.13077402,7.62194109,-0.03228253,
Tue Feb 02 16:59:39 GMT+09:00 2021,02-2월-2021 16:59:42.066,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,1.54904854,5.30076265,8.61912632,0.06248122,
Tue Feb 02 16:59:40 GMT+09:00 2021,02-2월-2021 16:59:43.066,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,1.83994401,4.78361511,8.79031181,0.0562436,
Tue Feb 02 16:59:41 GMT+09:00 2021,02-2월-2021 16:59:44.065,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,1.16717339,5.04817438,8.34858131,0.02060443,
Tue Feb 02 16:59:42 GMT+09:00 2021,02-2월-2021 16:59:45.066,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,-0.61650693,6.72052431,7.03177023,0.01251155,
Tue Feb 02 16:59:43 GMT+09:00 2021,02-2월-2021 16:59:46.066,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,-0.46926352,7.05690956,5.32709885,-0.07842374,
Tue Feb 02 16:59:44 GMT+09:00 2021,02-2월-2021 16:59:47.066,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,1.9189527,4.4041338,9.10275459,0.06820112,
Tue Feb 02 16:59:45 GMT+09:00 2021,02-2월-2021 16:59:48.066,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,1.29167187,4.9691658,8.71369743,0.0499714,
Tue Feb 02 16:59:46 GMT+09:00 2021,02-2월-2021 16:59:49.065,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,1.18153858,5.19541788,8.80826759,0.06837469,
Tue Feb 02 16:59:47 GMT+09:00 2021,02-2월-2021 16:59:50.065,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,0.90381116,5.44920301,8.14866543,0.0225026,
Tue Feb 02 16:59:48 GMT+09:00 2021,02-2월-2021 16:59:51.066,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,1.00317049,5.3474493,8.69334602,0.06441551,
GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),
Tue Feb 02 16:59:50 GMT+09:00 2021,02-2월-2021 16:59:52.995,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,1.32758486,5.11162043,8.36773491,0.02765995,
Tue Feb 02 16:59:51 GMT+09:00 2021,02-2월-2021 16:59:53.995,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,1.49757314,5.15950489,8.86213779,0.07541496,
Tue Feb 02 16:59:52 GMT+09:00 2021,02-2월-2021 16:59:54.995,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,1.46405435,5.04338598,8.35815811,0.0252251,
Tue Feb 02 16:59:53 GMT+09:00 2021,02-2월-2021 16:59:55.995,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,2.27568865,3.68946481,8.84058952,0.0226863,
Tue Feb 02 16:59:54 GMT+09:00 2021,02-2월-2021 16:59:56.995,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,1.83994401,4.04141235,9.00100136,0.04211456,
Tue Feb 02 16:59:55 GMT+09:00 2021,02-2월-2021 16:59:57.995,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,1.8674773,4.08809948,9.14465332,0.057679,
Tue Feb 02 16:59:56 GMT+09:00 2021,02-2월-2021 16:59:58.996,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,1.80163682,4.24013138,8.83101273,0.03434056,
Tue Feb 02 16:59:56 GMT+09:00 2021,02-2월-2021 16:59:59.995,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,1.8483237,4.32991362,8.94952583,0.04981476,
Tue Feb 02 16:59:58 GMT+09:00 2021,02-2월-2021 17:00:00.995,127.04073200002313,37.56607348099351,0.0,2.5,35.0,0.0,2.41215825,4.80037451,8.41442204,0.03665704,
GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),
Tue Feb 02 16:59:59 GMT+09:00 2021,02-2월-2021 17:00:02.776,127.04073200002313,37.56607348099351,0.0,2.5,35.0,0.0,1.9500773,4.45201826,8.63349152,0.02894849,
Tue Feb 02 17:00:00 GMT+09:00 2021,02-2월-2021 17:00:03.776,127.04073200002313,37.56607348099351,0.0,2.5,35.0,0.0,1.32159936,4.90571928,8.62032318,0.03899306,
Tue Feb 02 17:00:01 GMT+09:00 2021,02-2월-2021 17:00:04.776,127.04073200002313,37.56607348099351,0.0,3.0,35.0,0.0,1.946486,4.21379519,8.75200462,0.02885598,
Tue Feb 02 17:00:02 GMT+09:00 2021,02-2월-2021 17:00:05.775,127.04073200002313,37.56607348099351,0.0,2.5,35.0,0.0,2.52229142,3.76248789,9.37569427,0.08042544,
Tue Feb 02 17:00:03 GMT+09:00 2021,02-2월-2021 17:00:06.776,127.04073200002313,37.56607348099351,0.0,2.5,35.0,0.0,1.04147768,5.8059392,7.22570086,-0.03017306,
Tue Feb 02 17:00:04 GMT+09:00 2021,02-2월-2021 17:00:07.776,127.04073200002313,37.56607348099351,0.0,2.5,35.0,0.0,2.34871197,5.00986719,8.22767448,0.02971679,
Tue Feb 02 17:00:05 GMT+09:00 2021,02-2월-2021 17:00:08.776,127.04073200002313,37.56607348099351,0.0,2.5,35.0,0.0,4.95240641,4.1683054,6.79354715,-0.02445811,
