time,Pbatt,q,der(q),Soc
0,0,0,0,1
1,323.0546437908886,0,6.03257050459024,1
2,348.2199254216308,6.032570504590239,6.502952099060622,0.9999916214298548
3,4119.92,12.53552260365086,77.76681759994381,0.9999825895519393
4,350,90.30234020359465,6.536227203889666,0.9998745800830506
5,350,96.83856740748432,6.536227203889666,0.9998655019897119
6,350,103.374794611374,6.536227203889666,0.9998564238963731
7,350,109.9110218152637,6.536227203889666,0.9998473458030344
8,350,116.4472490191533,6.536227203889666,0.9998382677096956
9,350,122.983476223043,6.536227203889666,0.9998291896163568
10,350,129.5197034269327,6.536227203889666,0.9998201115230181
11,350,136.0559306308223,6.536227203889666,0.9998110334296795
12,350,142.592157834712,6.536227203889666,0.9998019553363408
13,350,149.1283850386017,6.536227203889666,0.9997928772430019
14,350,155.6646122424913,6.536227203889666,0.9997837991496632
15,350,162.200839446381,6.536227203889666,0.9997747210563245
16,19486.81860414119,168.7370666502707,385.7719935061759,0.9997656429629856
17,9803.802740384474,554.5090601564466,188.1928177936056,0.9992298485275606
18,10669.62680081378,742.7018779500527,205.3542886521736,0.9989684696139581
19,13724.01220142178,948.0561666022261,266.6579049962234,0.9986832553241637
20,11852.35662679376,1214.714071598449,228.9496284662787,0.9983128971227799
21,13142.6567190532,1443.663700064727,254.8961390418008,0.9979949115276878
22,13140.45063707532,1698.559839106527,254.8515915443431,0.997640889112352
23,12448.54411248237,1953.41143065087,240.9113898218175,0.9972869285685405
24,6470.966825510705,2194.322820472687,122.9844830228717,0.9969523294160102
25,18142.0566667106,2317.307303495561,357.5523535638631,0.9967815176340339
26,4152.712676549923,2674.859657059426,78.39322114786228,0.9962849171429731
27,-5312.667754619201,2753.252878207289,-97.69248473923471,0.9961760376691566
28,2858.018701264825,2655.560393468052,53.75248770030976,0.9963117216757389
29,-4253.779139177664,2709.31288116836,-78.44314411034202,0.9962370654428218
30,-1384.723945843721,2630.869737058018,-25.73554847391233,0.996346014254086
31,-4211.457233902684,2605.134188584105,-77.671535348426,0.9963817580714111
32,-5120.999479547629,2527.462653235678,-94.21615682631818,0.9964896352038394
33,178.0990683055308,2433.246496409359,3.324393302839326,0.9966204909772092
34,5507.634678400644,2436.570889712196,104.3805421460884,0.9966158737642886
35,18139.50735932885,2540.951431858282,357.4991094263823,0.9964709007890857
36,-5554.448447953831,2898.450541284663,-102.0727188160781,0.9959743742482158
37,-6042.892591996059,2796.377822468583,-110.9047334475285,0.9961161419132381
38,-4479.978666171656,2685.473089021055,-82.56425042146248,0.9962701762652485
39,-8725.759561596667,2602.90883859959,-159.0197983481917,0.9963848488352783
40,-6319.091090528441,2443.8890402514,-115.8889748975016,0.9966057096663176
41,-2126.366655278916,2328.000065353897,-39.43886681997355,0.9967666665758973
42,-1060.931210314027,2288.561198533924,-19.73536072037177,0.9968214427798139
43,2578.512697819993,2268.825837813554,48.45704059866875,0.9968488530030367
44,5573.778333747791,2317.282878412223,105.654502325388,0.9967815515577608
45,7067.720293819461,2422.937380737611,134.5630214117759,0.99663480919342
46,15612.79306875363,2557.500402149388,305.1845923922092,0.9964479161081259
47,15265.14829294457,2862.684994541599,298.0569364121602,0.9960240486186922
48,10676.13833951155,3160.741930953757,205.4837084917085,0.9956100806514531
49,27146.65697427911,3366.225639445468,551.9349760566479,0.9953246866118813
50,11115.83460217579,3918.160615502114,214.2352328773086,0.994558110256247
51,18191.74420036463,4132.395848379422,358.5903030587033,0.9942605613216952
52,14731.87559960238,4490.986151438122,287.1556438418711,0.9937625192341137
53,10307.98467856999,4778.141795279992,198.1748279482963,0.9933636919509999
54,29010.4532837237,4976.316623228288,593.8807464961646,0.9930884491344052
55,15298.16979985102,5570.197369724449,298.7332507598385,0.9922636147642717
56,10749.76871268386,5868.930620484291,206.9475169964917,0.9918487074715496
57,16137.91008276157,6075.87813748078,315.982656665456,0.99156128036461
58,10336.48053382971,6391.860794146235,198.7399451534807,0.9911224155636859
59,6548.903809136227,6590.600739299719,124.4942995155052,0.9908463878620838
60,8451.487590214518,6715.095038815228,161.5734207570054,0.9906734791127565
61,10691.55005418671,6876.668459572232,205.7900446651688,0.9904490715839275
62,9885.835638124418,7082.458504237405,189.8147925739468,0.9901632520774482
