,predict,label
0,0.030175686,0.0
1,0.04777336,0.0
2,0.044156075,0.0
3,0.044156075,0.0
4,0.044156075,0.0
5,0.044156075,0.0
6,0.044156075,0.0
7,0.044156075,0.0
8,0.044156075,0.0
9,0.044156075,1.43
10,2.1549582,1.54
11,2.069089,2.3899999
12,3.6068332,4.3399997
13,5.119431,5.22
14,6.288016,5.06
15,5.8975024,5.87
16,6.367788,7.29
17,7.90077,7.89
18,8.385703,8.47
19,8.773758,8.33
20,8.255381,7.75
21,7.420264,8.769999499999999
22,9.270956,9.5
23,9.969737,10.55
24,11.266889,11.13
25,11.500219,10.91
26,10.892029,11.48
27,11.558215,12.07
28,12.147356,12.9
29,13.061428,13.5
30,13.4332485,13.219999
31,12.841007,13.009999
32,12.570682,12.55
33,12.03614,12.2699995
34,11.9115715,11.7
35,11.235695,11.469999
36,11.22394,11.179999
37,10.890472,10.969999
38,10.789075,10.25
39,9.768143,9.42
40,8.892677,7.6699996
41,6.3903146,7.04
42,7.0884957,6.93
43,6.7659435,7.43
44,7.900028,8.54
45,9.23208,8.75
46,9.14052,8.82
47,9.010747,8.83
48,8.740381,8.55
49,8.3757,6.72
50,5.3465815,5.65
51,5.2412996,4.8199997
52,4.0557656,4.7999997
53,4.962363,4.74
54,4.7582026,3.29
55,2.8673327,1.28
56,0.46429253,0.22
57,-0.27780247,0.28
58,0.27241325,0.12
59,-0.1137743,0.0
60,0.05910492,0.0
