,predict,label
0,2.8267403,1.75
1,1.2483768,0.91999996
2,0.5973644,0.45
3,0.16519594,0.12
4,0.014031887,0.0
5,0.041148663,0.0
6,0.11550045,0.0
7,0.13741302,0.0
8,0.14355803,0.0
9,0.14267206,0.0
10,0.14267206,0.0
11,0.14267206,0.0
12,0.14267206,0.0
13,0.14267206,0.0
14,0.14267206,0.0
15,0.14267206,0.0
16,0.14267206,2.1499999
17,3.3836412,4.27
18,5.527148,5.49
19,6.575244,6.58
20,7.603612,7.8399997
21,8.817682,8.73
22,9.446346,9.63
23,10.260607,10.44
24,10.925783,11.13
25,11.489012,11.36
26,11.402997,12.349999
27,12.957693,12.38
28,12.2735195,11.69
29,11.108843,11.639999
30,11.647312,11.0199995
31,10.385975,10.65
32,10.339825,10.0
33,9.336121,9.22
34,8.468167,8.98
35,8.726078,9.23
36,9.296463,10.46
37,11.146877,9.66
38,8.817855,8.75
39,8.002629,7.96
40,7.21596,6.48
41,5.1711826,5.1
42,4.165767,4.31
43,3.8461738,3.6799998
44,3.3706923,3.83
45,4.133628,4.5
46,5.0352545,5.29
47,5.989899,6.92
48,8.026309,8.26
49,9.184859,9.0
50,9.654196,10.94
51,11.985575,11.5
52,11.824833,12.48
53,13.039981,13.17
54,13.571594,13.549999
55,13.783264,14.91
56,15.7466,15.469999
57,15.783426,15.7699995
58,15.995145,16.32
59,16.570515,16.56
60,16.529854,16.609999
61,16.451588,16.75
62,16.563797,16.99
63,16.793856,17.18
64,16.932735,17.17
65,16.792599,17.27
66,16.927128,17.19
67,16.685764,17.109999
68,16.615032,17.23
69,16.83195,17.0
70,16.38139,16.27
71,15.346584,15.91
72,15.249724,14.33
73,12.556918,13.46
74,12.632925,11.62
75,9.676816,9.559999
76,7.6883144,7.0299997
77,4.6162634,4.66
78,2.7863407,3.1399999
79,2.2524605,2.08
80,1.5410914,0.44
81,-0.40755272,0.19999999
82,0.17177582,0.0
83,-0.17768097,0.0
