,predict,label
0,4.9156656,6.02
1,6.963409,7.18
2,7.99642,8.58
3,9.435416,8.94
4,9.314202,9.41
5,9.755515,9.51
6,9.540858,8.87
7,8.246349,8.48
8,8.138526,8.139999000000001
9,7.7597423,8.29
10,8.28419,9.16
11,9.569052,9.74
12,9.883532,10.23
13,10.327696,11.01
14,11.404209,11.08
15,10.99088,10.91
16,10.635555,11.28
17,11.4676695,11.78
18,12.110352,11.4
19,11.054521,10.4
20,9.490092,9.66
21,8.979805,9.0199995
22,8.436041,8.74
23,8.461276,8.09
24,7.4806314,7.47
25,6.969428,7.3199997
26,7.1579194,8.67
27,9.414529,9.36
28,9.541899,9.099999
29,8.644481,8.929999
30,8.8437395,8.37
31,7.8403487,7.3199997
32,6.4754314,5.87
33,4.853605,4.19
34,3.153335,2.58
35,1.7681179,2.1
36,2.1283827,2.6699998
37,3.1206446,2.8
38,3.0543728,2.82
39,3.2225885,3.9399998
40,4.8813806,5.12
41,6.0507965,6.06
42,6.9063554,7.1499996
43,8.042905,7.85
44,8.496484,8.47
45,8.980289,9.37
46,9.964833,9.84
47,10.022099,10.42
48,10.644263,11.259999
49,11.701706,11.62
50,11.740946,11.92
51,12.021204,11.98
52,11.97336,11.91
53,11.817575,11.58
54,11.290734,11.17
55,10.810928,11.15
56,11.10506,11.34
57,11.47574,11.36
58,11.348423,11.559999
59,11.651626,11.969999
60,12.240669,12.349999
61,12.61849,12.63
62,12.827403,13.09
63,13.436418,13.45
64,13.75655,13.75
65,14.014048,14.04
66,14.295741,13.809999
67,13.65951,13.389999
68,13.059864,13.17
69,12.984276,13.71
70,14.171632,14.099999
71,14.499594,14.04
72,14.055393,13.42
73,12.914592,12.639999
74,11.953692,12.07
75,11.558953,10.389999
76,8.908543,8.55
77,6.960091,6.6499996
78,5.0025215,4.91
79,3.5540023,3.1299999
80,1.9103656,1.8199999
81,1.3209357,1.4399999
82,1.4995084,0.96999997
83,0.8780837,0.45999998
