,predict,label
0,4.949772,6.02
1,7.027414,7.18
2,8.025206,8.58
3,9.448515,8.94
4,9.37933,9.41
5,9.801498,9.51
6,9.611387,8.87
7,8.2294655,8.48
8,8.068504,8.139999000000001
9,7.754391,8.29
10,8.348766,9.16
11,9.656183,9.74
12,9.899307,10.23
13,10.3008,11.01
14,11.431419,11.08
15,10.956085,10.91
16,10.645168,11.28
17,11.485461,11.78
18,12.054307,11.4
19,10.96011,10.4
20,9.379861,9.66
21,8.953965,9.0199995
22,8.401331,8.74
23,8.456883,8.09
24,7.5052166,7.47
25,6.964914,7.3199997
26,7.1291423,8.67
27,9.482737,9.36
28,9.533058,9.099999
29,8.638451,8.929999
30,8.844283,8.37
31,7.795498,7.3199997
32,6.4315286,5.87
33,4.6937537,4.19
34,2.9617672,2.58
35,1.5735197,2.1
36,1.8874865,2.6699998
37,3.0320597,2.8
38,3.0930963,2.82
39,3.237166,3.9399998
40,5.123728,5.12
41,6.1951585,6.06
42,7.000483,7.1499996
43,8.1479225,7.85
44,8.591131,8.47
45,9.017166,9.37
46,10.004386,9.84
47,9.9941635,10.42
48,10.63329,11.259999
49,11.731252,11.62
50,11.698905,11.92
51,12.041548,11.98
52,11.953837,11.91
53,11.768797,11.58
54,11.208532,11.17
55,10.752473,11.15
56,11.103778,11.34
57,11.43586,11.36
58,11.300826,11.559999
59,11.65288,11.969999
60,12.209133,12.349999
61,12.548128,12.63
62,12.7609215,13.09
63,13.387968,13.45
64,13.65704,13.75
65,13.903057,14.04
66,14.197377,13.809999
67,13.45834,13.389999
68,12.900447,13.17
69,12.926686,13.71
70,14.1712055,14.099999
71,14.297845,14.04
72,13.809271,13.42
73,12.711418,12.639999
74,11.8356285,12.07
75,11.53345,10.389999
76,8.6991625,8.55
77,6.8507223,6.6499996
78,4.8609924,4.91
79,3.3789682,3.1299999
80,1.8438201,1.8199999
81,1.1098795,1.4399999
82,1.2638564,0.96999997
83,0.7569642,0.45999998
