,predict,label
0,5.13188,6.02
1,7.0981903,7.18
2,8.101155,8.58
3,9.443327,8.94
4,9.19041,9.41
5,9.6510515,9.51
6,9.443735,8.87
7,8.272721,8.48
8,8.116777,8.139999000000001
9,7.7380567,8.29
10,8.295347,9.16
11,9.58766,9.74
12,9.996759,10.23
13,10.455984,11.01
14,11.387251,11.08
15,11.039903,10.91
16,10.735702,11.28
17,11.456241,11.78
18,12.0457535,11.4
19,11.077903,10.4
20,9.554257,9.66
21,9.021073,9.0199995
22,8.400668,8.74
23,8.431478,8.09
24,7.430608,7.47
25,6.9242716,7.3199997
26,7.1166816,8.67
27,9.332715,9.36
28,9.686263,9.099999
29,8.853683,8.929999
30,8.727503,8.37
31,7.7939177,7.3199997
32,6.4004045,5.87
33,4.6872187,4.19
34,2.9675984,2.58
35,1.6411748,2.1
36,2.0967236,2.6699998
37,3.3195434,2.8
38,3.233416,2.82
39,3.305171,3.9399998
40,5.0223446,5.12
41,6.200148,6.06
42,7.034755,7.1499996
43,8.043227,7.85
44,8.441903,8.47
45,8.903848,9.37
46,9.8426895,9.84
47,10.032194,10.42
48,10.693767,11.259999
49,11.667383,11.62
50,11.788069,11.92
51,12.081226,11.98
52,11.978579,11.91
53,11.829286,11.58
54,11.290795,11.17
55,10.813131,11.15
56,11.085582,11.34
57,11.413707,11.36
58,11.325462,11.559999
59,11.656419,11.969999
60,12.197103,12.349999
61,12.578592,12.63
62,12.809335,13.09
63,13.381855,13.45
64,13.697677,13.75
65,13.968281,14.04
66,14.2451935,13.809999
67,13.66114,13.389999
68,13.053562,13.17
69,12.969997,13.71
70,14.039092,14.099999
71,14.391117,14.04
72,14.04167,13.42
73,12.929501,12.639999
74,11.965266,12.07
75,11.578913,10.389999
76,8.814467,8.55
77,6.9887276,6.6499996
78,5.001698,4.91
79,3.4996924,3.1299999
80,1.8485126,1.8199999
81,1.208497,1.4399999
82,1.5332365,0.96999997
83,0.96888304,0.45999998
