,predict,label
0,8.463179,8.04
1,6.6107917,7.2799997
2,6.537025,6.5499997
3,5.91122,5.68
4,5.171588,4.92
5,4.459286,3.9299998
6,3.4037035,2.96
7,2.5721998,2.22
8,2.1103802,1.89
9,1.9606137,0.68
10,0.33918667,0.22
11,0.08830309,0.0
12,-0.07124424,0.0
13,0.033697605,0.0
14,0.04192257,0.0
15,0.03297758,0.0
16,0.028709412,0.0
17,0.028709412,0.0
18,0.028709412,0.0
19,0.028709412,0.0
20,0.028709412,0.0
21,0.028709412,2.35
22,4.0924306,3.79
23,5.0154257,5.0099998
24,6.2102447,6.27
25,7.4123693,7.1499996
26,7.7186685,8.08
27,8.884849,8.309999000000001
28,8.41509,9.11
29,9.654791,9.67
30,9.9591255,9.929999
31,10.082502,10.23
32,10.498653,10.44
33,10.541647,10.49
34,10.442177,10.78
35,10.975773,11.139999
36,11.323743,11.389999
37,11.450281,11.65
38,11.784534,12.17
39,12.491817,12.58
40,12.754803,12.63
41,12.57648,12.71
42,12.779795,12.389999
43,12.137068,11.69
44,11.186239,11.59
45,11.476844,11.19
46,10.838255,11.4
47,11.408619,11.8
48,12.009436,11.8
49,11.58642,11.55
50,11.321605,11.66
51,11.754676,11.95
52,12.118898,11.88
53,11.684987,11.83
54,11.768461,11.94
55,12.025153,12.91
56,13.312632,13.849999
57,14.115004,14.5
58,14.64496,14.839999
59,15.057115,14.839999
60,14.8943815,15.04
61,15.154868,14.889999
62,14.773243,14.599999
63,14.4834,15.059999
64,15.100755,15.08
65,14.968585,14.7699995
66,14.673517,14.7
67,14.651062,15.5199995
68,15.530046,15.38
69,15.161917,14.88
70,14.741957,14.549999
71,14.332432,14.28
72,14.035562,14.0
73,13.806742,13.63
74,13.395065,13.15
75,12.842646,12.75
76,12.482237,12.41
77,12.180117,12.7699995
78,12.884515,12.179999
79,11.565783,10.24
80,8.890633,9.21
81,8.065088,7.8999996
82,6.608108,6.5299997
83,5.4428697,5.19
84,4.3131924,4.4
85,3.9626746,4.27
86,4.2771873,4.49
87,4.9429097,3.05
88,2.636146,3.9399998
89,4.0762625,4.12
90,4.704837,4.75
91,5.2936473,5.7599998
92,6.597113,6.8399997
93,7.6820407,7.33
94,7.7257175,7.54
95,7.7703056,7.3999996
96,7.1442847,5.7799997
97,4.6307707,4.37
98,3.5189524,3.1699998
99,2.6162195,2.18
100,2.0268917,2.75
101,3.7949111,5.38
102,7.0587497,6.66
103,7.4813333,7.48
104,7.984737,8.179999
105,8.751475,8.86
106,9.353921,10.059999
107,10.920091,9.969999
108,9.475362,9.679999
109,9.493818,9.38
110,9.080288,9.13
111,8.814569,9.12
112,9.012178,8.99
113,8.72068,6.6299996
114,5.2618856,5.89
115,5.0149136,6.46
116,6.045284,6.5899997
117,6.5513163,6.49
118,6.3745775,6.5699997
119,6.520277,7.58
120,8.185995,7.77
121,7.6519184,7.7
122,7.6346655,7.3999996
123,6.9971533,7.33
124,7.21674,7.08
125,6.7542253,6.89
126,6.701475,6.35
127,5.8322444,6.3199997
128,6.2908955,6.5499997
129,6.6709433,7.0
130,7.275367,6.5499997
131,6.049836,6.5499997
132,6.4695077,6.71
133,6.741433,6.7999997
134,6.7956905,7.45
135,7.872646,8.34
136,8.898657,8.88
137,9.180611,9.25
138,9.55349,9.41
139,9.494025,9.389999
140,9.306593,9.11
141,8.762364,8.72
142,8.284242,8.28
143,7.7884035,7.54
144,6.786598,6.93
145,6.412052,5.1
146,3.921016,3.79
147,3.2816532,3.6899998
148,3.6609585,3.54
149,4.018764,3.53
150,3.6375074,3.62
151,3.6935248,3.77
152,3.8779962,3.61
153,3.4899564,3.55
154,3.5163064,3.31
155,3.1375663,2.09
156,1.6797743,1.88
157,1.8359728,0.48999998
158,0.16598797,0.099999994
159,0.11712599,0.0
160,0.0092840195,0.0
161,0.0464139,0.0
162,0.037834644,0.0
163,0.030657291,0.0
164,0.028709412,0.0
165,0.028709412,0.0
166,0.028709412,0.42
167,0.75789833,0.35
168,0.3583188,0.56
169,0.73952866,0.0
170,-0.1960473,0.0
171,0.016695976,0.0
172,0.03170967,0.0
173,0.039305687,0.0
174,0.028709412,0.0
