,predict,label
0,0.03746891,0.0
1,0.03746891,0.0
2,0.03746891,0.0
3,0.03746891,0.0
4,0.03746891,0.0
5,0.03746891,0.0
6,0.03746891,0.0
7,0.03746891,0.0
8,0.03746891,0.0
9,0.03746891,0.0
10,0.03746891,0.0
11,0.03746891,0.0
12,0.03746891,0.0
13,0.03746891,0.0
14,0.03746891,0.0
15,0.03746891,0.0
16,0.03746891,0.0
17,0.03746891,0.0
18,0.03746891,0.0
19,0.03746891,0.0
20,0.03746891,0.0
21,0.03746891,0.0
22,0.03746891,0.0
23,0.03746891,0.0
24,0.03746891,0.0
25,0.03746891,0.0
26,0.03746891,0.0
27,0.03746891,0.0
28,0.03746891,0.0
29,0.03746891,0.0
30,0.03746891,0.0
31,0.03746891,0.0
32,0.03746891,0.0
33,0.03746891,1.88
34,3.156998,2.02
35,2.495945,3.57
36,4.9745283,5.98
37,7.88367,8.15
38,9.84106,9.92
39,10.841062,10.67
40,11.186419,11.66
41,12.2236595,12.469999
42,12.821324,13.0199995
43,13.315842,13.309999
44,13.465244,13.9
45,14.142681,14.42
46,14.627291,14.19
47,14.147562,14.49
48,14.573082,15.08
49,15.193099,15.219999
50,15.272416,15.38
51,15.470216,15.23
52,15.139761,14.96
53,14.814793,15.049999
54,14.951898,14.969999
55,14.797954,14.53
56,14.297157,14.36
57,14.154167,14.95
58,14.955369,15.589999
59,15.718276,15.969999
60,16.124914,16.05
61,16.10785,16.3
62,16.359756,16.699999
63,16.71684,16.74
64,16.654636,16.619999
65,16.541475,16.51
66,16.367538,16.529999
67,16.391579,16.65
68,16.533848,16.48
69,16.296347,16.33
70,16.204063,16.38
71,16.249199,16.43
72,16.28998,16.39
73,16.269753,15.799999
74,15.510606,15.23
75,14.942818,14.83
76,14.434469,14.5199995
77,14.137112,13.86
78,13.376207,13.2
79,12.660694,13.139999
80,12.70826,12.45
81,11.884626,11.08
82,10.204041,10.59
83,9.686134,8.78
84,7.6778398,6.6299996
85,5.1054525,5.46
86,3.773544,4.66
87,4.083313,2.7
88,2.352469,2.53
89,2.2612162,2.4299998
90,3.7948065,4.23
91,5.147861,4.49
92,5.1021276,6.7
93,8.400683,7.759999799999999
94,8.77801,8.01
95,7.986083,8.11
96,8.367584,8.139999000000001
97,7.734441,6.91
98,5.899809,4.7799997
99,3.4335082,3.11
100,2.2863965,2.5
101,2.4366307,2.6
102,3.6558793,4.7
103,6.0232544,6.96
104,8.479349,7.66
105,8.147182,8.05
106,8.097151,8.82
107,9.281803,9.29
108,9.360697,10.51
109,11.181156,10.63
110,10.536111,10.86
111,10.99724,9.79
112,9.097393,9.33
113,8.791175,8.11
114,7.0823007,6.46
115,4.8425217,5.7799997
116,4.8625097,5.45
117,5.329816,4.8199997
118,4.6981845,4.87
119,4.8151884,5.93
120,6.496208,6.5099998
121,6.8441,6.8799996
122,7.086492,7.14
123,7.1413674,7.08
124,6.7637343,6.79
125,6.3370285,6.77
126,6.4798098,6.5699997
127,6.2978034,6.42
128,6.2204328,6.37
129,6.1615744,5.7999997
130,5.366595,4.98
131,4.4048347,4.25
132,3.7514086,3.1
133,2.704956,2.25
134,2.0134325,1.75
135,1.8671956,2.24
136,2.4660244,4.29
137,5.685458,5.17
138,6.1167536,5.87
139,6.590314,6.71
140,7.5378504,7.0699997
141,7.4373236,8.16
142,8.707702,8.91
143,9.100437,9.38
144,9.56955,9.63
145,9.619711,9.349999
146,8.997136,9.11
147,8.701122,8.54
148,7.809622,8.269999499999999
149,7.586636,7.9199996
150,7.2873797,6.6499996
151,5.6381264,4.93
152,3.878125,3.9399998
153,3.3406484,3.32
154,3.2400212,2.97
155,3.1040542,3.26
156,3.5245223,3.52
157,3.6552513,3.31
158,3.321824,2.86
159,2.4780884,3.08
160,2.7923522,2.75
161,2.5016294,2.59
162,2.3845034,2.33
163,1.9557052,1.77
164,1.3333187,1.18
165,0.6317048,0.45999998
166,-0.10008478,0.12
167,-0.26007986,0.0
168,-0.136271,0.0
169,-0.022845268,0.0
170,0.021505356,0.0
171,0.033426285,0.0
172,0.03746891,0.0
173,0.03746891,0.0
174,0.03746891,0.0
