,predict,label
0,0.075459,0.0
1,0.075459,0.0
2,0.075459,0.0
3,0.075459,0.0
4,0.075459,0.0
5,0.075459,0.0
6,0.075459,0.0
7,0.075459,0.0
8,0.075459,0.0
9,0.075459,0.0
10,0.075459,0.0
11,0.075459,0.0
12,0.075459,0.0
13,0.075459,0.0
14,0.075459,0.0
15,0.075459,0.0
16,0.075459,0.0
17,0.075459,0.0
18,0.075459,0.0
19,0.075459,0.0
20,0.075459,0.0
21,0.075459,0.0
22,0.075459,0.0
23,0.075459,0.0
24,0.075459,0.0
25,0.075459,0.0
26,0.075459,0.0
27,0.075459,0.0
28,0.075459,0.0
29,0.075459,0.0
30,0.075459,0.0
31,0.075459,0.0
32,0.075459,0.0
33,0.075459,1.88
34,3.3636935,2.02
35,3.114652,3.57
36,4.8262563,5.98
37,7.153826,8.15
38,9.748323,9.92
39,10.87188,10.67
40,11.498348,11.66
41,12.790859,12.469999
42,13.015295,13.0199995
43,13.5295925,13.309999
44,13.638333,13.9
45,14.248628,14.42
46,14.747271,14.19
47,14.236455,14.49
48,14.616505,15.08
49,15.20524,15.219999
50,15.393998,15.38
51,15.584387,15.23
52,15.188385,14.96
53,14.905643,15.049999
54,15.063543,14.969999
55,14.800773,14.53
56,14.332212,14.36
57,14.278343,14.95
58,15.028577,15.589999
59,15.752119,15.969999
60,16.160084,16.05
61,16.197958,16.3
62,16.423103,16.699999
63,16.70461,16.74
64,16.734127,16.619999
65,16.660305,16.51
66,16.535805,16.529999
67,16.54652,16.65
68,16.648954,16.48
69,16.453205,16.33
70,16.366167,16.38
71,16.402142,16.43
72,16.416275,16.39
73,16.40252,15.799999
74,15.639401,15.23
75,15.0745125,14.83
76,14.439459,14.5199995
77,14.077295,13.86
78,13.184837,13.2
79,12.663248,13.139999
80,12.969708,12.45
81,11.740992,11.08
82,9.946459,10.59
83,9.630016,8.78
84,7.125536,6.6299996
85,5.211043,5.46
86,4.055793,4.66
87,4.164735,2.7
88,2.2147245,2.53
89,2.7047486,2.4299998
90,2.5140238,4.23
91,5.326176,4.49
92,5.5134215,6.7
93,8.331364,7.759999799999999
94,8.528579,8.01
95,8.222563,8.11
96,8.558283,8.139999000000001
97,8.351117,6.91
98,5.738804,4.7799997
99,2.6497302,3.11
100,2.382844,2.5
101,3.0986123,2.6
102,3.2052927,4.7
103,5.9518323,6.96
104,7.914841,7.66
105,8.239374,8.05
106,8.620004,8.82
107,9.347496,9.29
108,9.627092,10.51
109,10.625547,10.63
110,10.422027,10.86
111,10.744389,9.79
112,9.302843,9.33
113,8.673541,8.11
114,6.959275,6.46
115,5.339653,5.7799997
116,4.929616,5.45
117,5.4938965,4.8199997
118,4.3241606,4.87
119,5.1759233,5.93
120,6.072389,6.5099998
121,7.1209254,6.8799996
122,7.3535643,7.14
123,7.522499,7.08
124,7.008499,6.79
125,6.708035,6.77
126,6.905387,6.5699997
127,6.599941,6.42
128,6.502007,6.37
129,6.456289,5.7999997
130,5.5883503,4.98
131,4.506973,4.25
132,3.9132674,3.1
133,2.662273,2.25
134,1.8749814,1.75
135,1.547492,2.24
136,2.6119761,4.29
137,5.3897066,5.17
138,6.154056,5.87
139,6.6483536,6.71
140,7.6172705,7.0699997
141,7.613472,8.16
142,8.539274,8.91
143,9.2535715,9.38
144,9.623861,9.63
145,9.989676,9.349999
146,9.098869,9.11
147,8.714577,8.54
148,7.765849,8.269999499999999
149,7.7403383,7.9199996
150,7.385727,6.6499996
151,5.276535,4.93
152,3.690676,3.9399998
153,3.523507,3.32
154,3.3775206,2.97
155,3.1246927,3.26
156,3.602756,3.52
157,3.9109619,3.31
158,3.296101,2.86
159,2.297814,3.08
160,3.0858834,2.75
161,2.6784306,2.59
162,2.3627095,2.33
163,1.9315133,1.77
164,1.1928582,1.18
165,0.6026077,0.45999998
166,0.034731388,0.12
167,-0.09155464,0.0
168,-0.060746193,0.0
169,0.04429531,0.0
170,0.059926033,0.0
171,0.077857494,0.0
172,0.075459,0.0
173,0.075459,0.0
174,0.075459,0.0
