,speed
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,1.39
24,1.76
25,2.95
26,3.27
27,3.61
28,2.6599998
29,2.76
30,2.6
31,1.3299999
32,0.96999997
33,0.03
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,1.14
48,5.31
49,6.2999997
50,7.18
51,7.49
52,7.6699996
53,8.29
54,7.98
55,7.58
56,7.259999799999999
57,6.6299996
58,6.17
59,4.92
60,4.22
61,3.24
62,2.18
63,1.29
64,0.14
65,0.29999998
66,0.0
67,0.0
68,0.0
