,speed
0,2.76
1,1.09
2,0.24
3,0.28
4,0.16
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,2.18
25,3.6899998
26,4.87
27,6.22
28,7.3199997
29,7.7
30,7.9199996
31,7.6299996
32,7.81
33,8.269999499999999
34,8.95
35,9.61
36,10.309999000000001
37,10.07
38,10.15
39,10.59
40,10.87
41,10.969999000000001
42,10.95
43,10.26
44,9.99
45,10.2
46,10.469999000000001
47,10.71
48,10.46
49,10.21
50,10.03
51,9.2
52,8.69
53,7.54
54,6.33
55,5.13
56,3.6699998
57,2.9199998
58,1.79
59,0.84
60,0.0
61,0.22
62,0.0
63,0.0
64,0.0
65,0.0
