,speed
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.89
8,2.11
9,2.6299999
10,4.43
11,4.71
12,5.49
13,6.0099998
14,6.8799996
15,7.3199997
16,7.64
17,6.71
18,5.96
19,5.98
20,6.1299996
21,5.52
22,5.3599997
23,6.1099997
24,6.45
25,6.6
26,5.87
27,5.6099997
28,6.64
29,6.47
30,6.14
31,6.04
32,6.56
33,5.97
34,5.74
35,5.95
36,7.3199997
37,7.52
38,6.58
39,6.22
40,6.8799996
41,6.6499996
42,5.46
43,5.5299997
44,5.56
45,5.77
46,5.75
47,5.18
48,5.79
49,7.0
50,7.66
51,7.8799996
52,7.7999997
53,8.21
54,8.099999
55,8.03
56,8.54
57,8.769999499999999
58,8.87
59,8.929999
60,9.639999000000001
61,10.349999
62,10.78
63,10.45
64,10.75
65,11.23
66,11.679999
67,11.87
68,13.019999499999999
69,13.45
70,13.48
71,13.269999499999999
72,12.759999
73,12.139999000000001
74,11.769999499999999
75,11.37
76,11.49
77,11.5
78,10.929999
79,10.309999000000001
80,9.349999
81,8.849999
82,8.389999000000001
83,7.97
84,7.5699997
85,7.0299997
86,6.5699997
87,5.89
88,5.5299997
