,speed
0,7.5699997
1,7.0299997
2,6.5699997
3,5.89
4,5.5299997
5,5.4
6,5.75
7,5.64
8,4.7599998
9,4.19
10,3.76
11,2.84
12,2.19
13,1.9499999
14,1.89
15,1.56
16,0.76
17,0.22
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.22
36,0.0
37,1.0
38,3.1899998
39,4.24
40,5.54
41,6.93
42,7.7
43,8.84
44,9.84
45,9.87
46,9.38
47,10.12
48,10.73
49,10.849999
50,10.88
51,11.08
52,11.559999000000001
53,11.98
54,12.679999
55,12.75
56,13.4
57,13.54
58,14.61
59,14.839998999999999
60,14.53
61,13.019999499999999
62,11.44
63,10.57
64,10.5
65,11.099999
66,11.59
67,12.66
68,13.5
69,13.75
70,14.589998999999999
71,14.559999
72,14.799999
73,14.98
74,14.75
75,14.94
76,14.86
77,14.839998999999999
78,14.91
79,14.96
80,14.5
81,14.86
82,14.67
83,14.36
84,14.549999
85,14.71
86,14.639999
87,14.28
88,13.4
89,12.5
90,12.15
91,12.53
92,13.049999
93,11.769999499999999
94,10.46
95,9.49
96,9.2
97,8.92
98,7.6699996
99,5.5
100,3.1599998
101,2.52
102,3.1899998
103,3.6499998999999996
104,5.18
105,7.45
106,8.0
107,8.29
108,8.29
109,7.75
110,6.43
111,4.99
112,3.59
113,3.74
114,4.6
115,6.93
116,8.36
117,8.8
118,9.07
119,9.309999000000001
120,10.08
121,9.679999
122,9.54
123,9.01
124,8.34
125,7.4199996
126,6.75
127,5.95
128,5.5899997
129,5.17
130,5.49
131,5.68
132,5.97
133,7.2
134,7.44
135,7.52
136,7.3999996
137,7.5699997
138,7.23
139,7.37
140,7.2
141,7.0499997
142,7.4199996
143,8.3
144,8.139999000000001
145,7.4199996
146,7.79
147,7.8599997
148,8.059999000000001
149,8.929999
150,9.69
151,9.969999000000001
152,10.099999
153,10.36
154,10.08
155,8.78
156,6.89
157,5.14
158,4.0499997
159,2.6299999
160,2.6699998
161,2.9199998
162,2.9099998
163,3.28
164,3.75
165,3.6599998
166,3.3999998999999996
167,2.82
168,1.76
169,0.41
170,0.07
171,0.44
172,0.81
173,0.96
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
