,speed
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,1.04
13.0,2.08
14.0,3.12
15.0,4.16
16.0,4.16
17.0,4.16
18.0,4.16
19.0,4.16
20.0,4.16
21.0,4.16
22.0,4.16
23.0,4.16
24.0,3.33
25.0,2.5
26.0,1.6700000000000004
27.0,0.8400000000000003
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.69
51.0,1.38
52.0,2.07
53.0,2.76
54.0,3.4499999999999997
55.0,4.16
56.0,4.95
57.0,5.74
58.0,6.53
59.0,7.32
60.0,8.11
61.0,8.9
62.0,8.9
63.0,8.9
64.0,8.9
65.0,8.9
66.0,8.9
67.0,8.9
68.0,8.9
69.0,8.9
70.0,8.9
71.0,8.9
72.0,8.9
73.0,8.9
74.0,8.9
75.0,8.9
76.0,8.9
77.0,8.9
78.0,8.9
79.0,8.9
80.0,8.9
81.0,8.9
82.0,8.9
83.0,8.9
84.0,8.9
85.0,8.9
86.0,8.09
87.0,7.28
88.0,6.470000000000001
89.0,5.66
90.0,4.85
91.0,4.04
92.0,3.2300000000000004
93.0,2.42
94.0,1.6099999999999994
95.0,0.7999999999999989
96.0,0.0
97.0,0.0
98.0,0.0
99.0,0.0
100.0,0.0
101.0,0.0
102.0,0.0
103.0,0.0
104.0,0.0
105.0,0.0
106.0,0.0
107.0,0.0
108.0,0.0
109.0,0.0
110.0,0.0
111.0,0.0
112.0,0.0
113.0,0.0
114.0,0.0
115.0,0.0
116.0,0.0
117.0,0.0
118.0,0.69
119.0,1.38
120.0,2.07
121.0,2.76
122.0,3.4499999999999997
123.0,4.16
124.0,4.67
125.0,5.18
126.0,5.69
127.0,6.2
128.0,6.71
129.0,7.220000000000001
130.0,7.73
131.0,8.24
132.0,8.75
133.0,9.26
134.0,9.72
135.0,10.180000000000001
136.0,10.64
137.0,11.100000000000001
138.0,11.56
139.0,12.020000000000001
140.0,12.48
141.0,12.940000000000001
142.0,13.4
143.0,13.88
144.0,13.88
145.0,13.88
146.0,13.88
147.0,13.88
148.0,13.88
149.0,13.88
150.0,13.88
151.0,13.88
152.0,13.88
153.0,13.88
154.0,13.88
155.0,13.88
156.0,13.360000000000001
157.0,12.84
158.0,12.32
159.0,11.8
160.0,11.280000000000001
161.0,10.760000000000002
162.0,10.24
163.0,9.72
164.0,9.72
165.0,9.72
166.0,9.72
167.0,9.72
168.0,9.72
169.0,9.72
170.0,9.72
171.0,9.72
172.0,9.72
173.0,9.72
174.0,9.72
175.0,9.72
176.0,9.72
177.0,9.72
178.0,9.72
179.0,8.75
180.0,7.780000000000001
181.0,6.8100000000000005
182.0,5.840000000000001
183.0,4.870000000000001
184.0,3.9000000000000004
185.0,2.9300000000000006
186.0,1.9600000000000009
187.0,0.9900000000000002
188.0,0.0
189.0,0.0
190.0,0.0
191.0,0.0
192.0,0.0
193.0,0.0
194.0,0.0
195.0,0.0
196.0,0.0
197.0,0.0
198.0,0.0
199.0,0.0
200.0,0.0
201.0,0.0
202.0,0.0
203.0,0.0
204.0,0.0
205.0,0.0
206.0,0.0
207.0,1.04
208.0,2.08
209.0,3.12
210.0,4.16
211.0,4.16
212.0,4.16
213.0,4.16
214.0,4.16
215.0,4.16
216.0,4.16
217.0,4.16
218.0,4.16
219.0,3.33
220.0,2.5
