time,Pbatt,q,der(q),Soc
180,0,0,0,1
181,-4380.467953,0,-80.75188467,1
182,-3536.537921,-80.75188467,-65.34291691,1.000112155
183,-2730.417687,-146.0948016,-50.55910269,1.000202909
184,-1986.627966,-196.6539043,-36.86115685,1.00027313
185,-1266.770834,-233.5150611,-23.55100069,1.000324326
186,-260.3476916,-257.0660618,-4.853716848,1.000357036
187,193.9926226,-261.9197787,3.621222549,1.000363777
188,350,-258.2985561,6.536227204,1.000358748
189,350,-251.7623289,6.536227204,1.00034967
190,350,-245.2261017,6.536227204,1.000340592
191,350,-238.6898745,6.536227204,1.000331514
192,350,-232.1536473,6.536227204,1.000322436
193,350,-225.6174201,6.536227204,1.000313358
194,350,-219.0811929,6.536227204,1.000304279
195,350,-212.5449657,6.536227204,1.000295201
196,350,-206.0087385,6.536227204,1.000286123
197,350,-199.4725113,6.536227204,1.000277045
198,350,-192.9362841,6.536227204,1.000267967
199,350,-186.4000569,6.536227204,1.000258889
200,350,-179.8638297,6.536227204,1.000249811
201,350,-173.3276025,6.536227204,1.000240733
202,350,-166.7913752,6.536227204,1.000231655
203,350,-160.255148,6.536227204,1.000222577
204,350,-153.7189208,6.536227204,1.000213499
205,350,-147.1826936,6.536227204,1.00020442
206,350,-140.6464664,6.536227204,1.000195342
207,7831.977457,-134.1102392,149.4527315,1.000186264
208,7532.499652,15.34249227,143.6098891,0.999978691
time,Pbatt,q,der(q),Soc
210,0,0,0,1
211,2144.863325,0,40.25800336,1
212,2144.863325,40.25800336,40.25800336,0.999944086
213,2144.863325,80.51600672,40.25800336,0.999888172
214,2144.863325,120.7740101,40.25800336,0.999832258
215,2144.863325,161.0320134,40.25800336,0.999776344
216,2144.863325,201.2900168,40.25800336,0.999720431
217,2144.863325,241.5480202,40.25800336,0.999664517
218,2144.863325,281.8060235,40.25800336,0.999608603
219,-1160.029788,322.0640269,-21.57288568,0.999552689
220,-581.5118253,300.4911412,-10.83159027,0.999582651
221,-19.77231469,289.6595509,-0.36886616,0.999597695
222,256.2862929,289.2906848,4.784877862,0.999598207
223,350,294.0755626,6.536227204,0.999591562
224,350,300.6117898,6.536227204,0.999582484
225,350,307.148017,6.536227204,0.999573406
226,350,313.6842442,6.536227204,0.999564327
227,350,320.2204714,6.536227204,0.999555249
228,350,326.7566986,6.536227204,0.999546171
229,350,333.2929258,6.536227204,0.999537093
230,350,339.829153,6.536227204,0.999528015
231,350,346.3653803,6.536227204,0.999518937
232,350,352.9016075,6.536227204,0.999509859
233,350,359.4378347,6.536227204,0.999500781
234,350,365.9740619,6.536227204,0.999491703
235,350,372.5102891,6.536227204,0.999482625
236,350,379.0465163,6.536227204,0.999473547
237,350,385.5827435,6.536227204,0.999464468
238,350,392.1189707,6.536227204,0.99945539
time,Pbatt,q,der(q),Soc
240,0,0,0,1
241,350,0,6.536227204,1
242,350,6.536227204,6.536227204,0.999990922
243,350,13.07245441,6.536227204,0.999981844
244,350,19.60868161,6.536227204,0.999972766
245,5583.081114,26.14490882,105.8337187,0.999963688
246,5588.75408,131.9786275,105.9430122,0.999816696
247,5415.689741,237.9216397,102.6104665,0.999669553
248,4579.981237,340.5321062,86.56586624,0.999527039
249,5245.739161,427.0979725,99.34120448,0.999406808
250,6671.883852,526.4391769,126.8781409,0.999268834
251,7572.215489,653.3173178,144.3841366,0.999092615
252,8409.75029,797.7014544,160.7553851,0.998892081
253,9193.655473,958.4568395,176.1548453,0.99866881
254,10120.60292,1134.611685,194.4612765,0.99842415
255,11073.22678,1329.072961,213.3861167,0.998154065
256,2692.725448,1542.459078,50.61985836,0.997857696
257,2692.725448,1593.078936,50.61985836,0.99778739
258,2692.725448,1643.698795,50.61985836,0.997717085
259,2692.725448,1694.318653,50.61985836,0.99764678
260,2692.725448,1744.938511,50.61985836,0.997576474
261,2692.725448,1795.55837,50.61985836,0.997506169
262,2692.725448,1846.178228,50.61985836,0.997435864
263,2692.725448,1896.798087,50.61985836,0.997365558
264,2692.725448,1947.417945,50.61985836,0.997295253
265,2692.725448,1998.037803,50.61985836,0.997224947
266,2692.725448,2048.657662,50.61985836,0.997154642
267,2692.725448,2099.27752,50.61985836,0.997084337
268,2692.725448,2149.897378,50.61985836,0.997014031
time,Pbatt,q,der(q),Soc
270,0,0,0,1
271,2692.725448,0,50.61985836,1
272,2692.725448,50.61985836,50.61985836,0.999929695
273,2692.725448,101.2397167,50.61985836,0.999859389
274,2692.725448,151.8595751,50.61985836,0.999789084
275,2692.725448,202.4794334,50.61985836,0.999718779
276,2692.725448,253.0992918,50.61985836,0.999648473
277,2692.725448,303.7191501,50.61985836,0.999578168
278,2692.725448,354.3390085,50.61985836,0.999507862
279,2692.725448,404.9588669,50.61985836,0.999437557
280,2692.725448,455.5787252,50.61985836,0.999367252
281,-4233.36382,506.1985836,-78.07095574,0.999296946
282,-3744.314171,428.1276278,-69.14306097,0.999405378
283,-3219.955785,358.9845669,-59.54461375,0.99950141
284,-2608.377807,299.4399531,-48.31535115,0.999584111
285,-2041.833542,251.124602,-37.87974887,0.999651216
286,-1521.39411,213.2448531,-28.26497831,0.999703827
287,-1038.129193,184.9798748,-19.31241489,0.999743084
288,-477.9397962,165.6674599,-8.904951695,0.999769906
289,16.04339666,156.7625082,0.299330475,0.999782274
290,267.4067221,157.0618387,4.992651767,0.999781859
291,350,162.0544905,6.536227204,0.999774924
292,350,168.5907177,6.536227204,0.999765846
293,350,175.1269449,6.536227204,0.999756768
294,350,181.6631721,6.536227204,0.99974769
295,350,188.1993993,6.536227204,0.999738612
296,350,194.7356265,6.536227204,0.999729534
297,350,201.2718537,6.536227204,0.999720456
298,350,207.8080809,6.536227204,0.999711378
time,Pbatt,q,der(q),Soc
300,0,0,0,1
301,350,0,6.536227204,1
302,350,6.536227204,6.536227204,0.999990922
303,350,13.07245441,6.536227204,0.999981844
304,350,19.60868161,6.536227204,0.999972766
305,350,26.14490882,6.536227204,0.999963688
306,350,32.68113602,6.536227204,0.99995461
307,350,39.21736322,6.536227204,0.999945531
308,350,45.75359043,6.536227204,0.999936453
309,350,52.28981763,6.536227204,0.999927375
310,350,58.82604484,6.536227204,0.999918297
311,350,65.36227204,6.536227204,0.999909219
312,350,71.89849924,6.536227204,0.999900141
313,5583.081114,78.43472645,105.8337187,0.999891063
314,5588.75408,184.2684451,105.9430122,0.999744072
315,5415.689741,290.2114573,102.6104665,0.999596929
316,4579.981237,392.8219238,86.56586624,0.999454414
317,5245.739161,479.3877901,99.34120448,0.999334184
318,5045.064193,578.7289946,95.48513971,0.99919621
319,5409.495449,674.2141343,102.4912519,0.999063591
320,5749.957205,776.7053862,109.0502396,0.998921243
321,6070.182689,885.7556258,115.2315131,0.998769784
322,6373.360149,1000.987139,121.0946156,0.99860974
323,6674.804801,1122.081755,126.9347819,0.998441553
324,7120.379707,1249.016536,135.5867508,0.998265255
325,7563.934063,1384.603287,144.2226774,0.99807694
326,8005.966079,1528.825965,152.8521711,0.997876631
327,8446.956745,1681.678136,161.4846077,0.997664336
328,8887.370734,1843.162743,170.1291444,0.997440052
time,Pbatt,q,der(q),Soc
330,0,0,0,1
331,9403.88591,0,180.2974491,1
332,9805.305058,180.2974491,188.2225145,0.999749587
333,10209.52785,368.5199636,196.2230551,0.999488167
334,10616.73205,564.7430187,204.3031783,0.999215635
335,11027.08716,769.046197,212.4668758,0.99893188
336,11440.75453,981.5130728,220.7180243,0.998636787
