time,Pbatt,q,der(q),Soc
0,0,0,0,1
1,7048.132835437325,0,134.1823130702305,1
2,3658.70292457478,134.1823130702305,68.96934875210991,0.9998136356762912
3,3957.147666353271,203.1516618223405,74.65932432886575,0.9997178449141356
4,6797.977553806074,277.8109861512063,129.3241694057065,0.9996141514081233
5,6543.268187388932,407.1351555569128,124.3851010115322,0.9994345345061709
6,5876.650815793654,531.520256568445,111.4943804239288,0.9992617774214327
7,4295.923720896541,643.0146369923733,81.13023586317649,0.9991069241152883
8,2438.868517861155,724.1448728555503,45.81455797841818,0.9989942432321451
9,3777.659894897249,769.9594308339687,71.23613031712148,0.9989306119016196
10,4213.126914036466,841.1955611510899,79.54756406006709,0.9988316728317346
11,4708.909498732513,920.743125211157,89.03598415155193,0.9987211901038733
12,4065.620581629014,1009.779109362709,76.72985726867137,0.9985975290147739
13,4909.252138133242,1086.508966631381,92.8780368654684,0.9984909597685675
14,2600.989393841714,1179.387003496849,48.88256407473637,0.9983619624951432
15,4684.736238774037,1228.269567571585,88.57270966326041,0.9982940700450395
16,6801.413701493146,1316.842277234845,129.3908515137455,0.9981710523927293
17,3571.230734266639,1446.23312874859,67.30352328810795,0.9979913428767381
18,3206.551755643774,1513.536652036698,60.36764507878024,0.9978978657610601
19,4037.364609844458,1573.904297115477,76.19038064681536,0.9978140218095618
20,11317.2194425803,1650.094677762292,218.2516752335509,0.9977082018364414
21,11398.57762004901,1868.346352995842,219.8757536650601,0.997405074509728
22,5888.331071731064,2088.222106660902,111.7198058176596,0.9970996915185265
23,4300.331674324992,2199.941912478563,81.21451595407143,0.9969445251215576
24,4694.813404060803,2281.156428432634,88.76582801964378,0.9968317271827324
25,5193.505859605131,2369.922256452279,98.33707657922241,0.996708441310483
26,6375.506665147638,2468.259333031503,121.1361647080025,0.9965718620374563
27,11779.40605776768,2589.395497739507,227.4891124642909,0.9964036173642506
28,12571.19974270682,2816.884610203798,243.3780352026015,0.9960876602636058
29,12977.85152825189,3060.262645406397,251.5699848199711,0.9957496352147133
30,12606.0224185083,3311.832630226369,244.0786877825667,0.9954002324580189
31,9903.837595893239,3555.911318008935,190.1708431446259,0.9950612342805432
32,11832.74241971842,3746.082161153559,228.5568726092097,0.9947971081095089
33,10997.9017752452,3974.63903376277,211.8855536971969,0.9944796680086628
34,10794.67096204523,4186.524587459966,207.840530822099,0.9941853825174167
35,6137.7408746417,4394.365118282061,116.5370899498803,0.9938967151134972
36,9520.920041011041,4510.902208231941,182.6059615397357,0.9937348580441223
37,8279.822388542685,4693.50816977168,158.2101884002191,0.9934812386530949
38,4835.655194076992,4851.718358171896,91.46611177045179,0.9932615022803168
39,3780.271978458975,4943.184469942347,71.28592239386808,0.9931344660139689
40,5582.713391122546,5014.470392336219,105.8266343936425,0.9930354577884218
41,3410.871585647235,5120.297026729862,64.25182769675803,0.992888476351764
42,342.9002767259239,5184.548854426625,6.403513369285065,0.9927992377021853
43,10306.12901139038,5190.952367795911,198.1380306910328,0.9927903439336169
44,5980.574303062679,5389.090398486946,113.5006238039896,0.9925151522243237
45,8047.67161756424,5502.591022290939,153.6675630021728,0.9923575124690402
46,7336.930276640796,5656.258585293112,139.8000505544987,0.9921440852982041
47,4282.087312611264,5796.058635847607,80.86569778426019,0.9919499185613228
48,-3093.792815275091,5876.924333631863,-57.23114888165264,0.991837605092178
49,-1862.639677768937,5819.693184750207,-34.57234517466259,0.9919170927989581
50,5652.702795099244,5785.120839575542,107.1752821633122,0.991965109945034
51,-7086.518422419982,5892.296121738858,-129.7003898040557,0.9918162553864738
52,-2132.662746898652,5762.595731934802,-39.55496243420293,0.9919963948167573
53,-155.5799399573108,5723.040769500598,-2.901354423458542,0.9920513322645825
54,-2869.120938794976,5720.139415077141,-53.10742077727718,0.992055361923504
55,-5537.81312983743,5667.031994299863,-101.7715221650574,0.992129122230139
56,-6123.094029498208,5565.260472134809,-112.3527771859522,0.9922704715664794
57,-6129.782943993402,5452.907694948857,-112.4735187433816,0.9924265170903488
58,-2405.230993274151,5340.434176205476,-44.57712744301489,0.9925827303108258
59,-8917.27149996562,5295.857048762458,-162.4292074710493,0.9926446429878298
60,106.2614851511501,5133.427841291408,1.983077349203995,0.9928702391093175
61,-4335.115476827298,5135.410918640613,-79.92557274985347,0.9928674848352212
62,-2403.844809910438,5055.48534589076,-44.55160532857462,0.9929784925751517
63,2934.786096221188,5010.933740562181,55.20839233004745,0.9930403698047747
64,9369.500635685732,5066.142132892232,179.6195148627216,0.9929636914820941
65,6537.268661626945,5245.761647754956,124.2688553915982,0.9927142199336737
66,4069.997618384434,5370.030503146558,76.81343371601497,0.9925416243011853
67,-1963.217200153339,5446.843936862573,-36.42911486704043,0.9924349389765798
68,-750.847251135621,5410.414821995531,-13.97917746111398,0.9924855349694507
69,-4125.246395856823,5396.435644534416,-76.09921039687697,0.9925049504937022
70,-4526.996736444896,5320.336434137538,-83.42024693389521,0.9926106438414757
71,-2958.686067256809,5236.916187203646,-54.75193786670752,0.9927265052955505
72,2656.377213433833,5182.164249336942,49.93138733135265,0.9928025496536987
73,2143.408878876466,5232.095636668295,40.2305382186446,0.9927332005046274
74,-507.2856269188911,5272.326174886943,-9.450952665459226,0.9926773247571016
75,4063.872323679361,5262.875222221486,76.69647610551101,0.9926904510802479
76,2578.627207883781,5339.571698326994,48.45920833703349,0.9925839281967681
77,4076.134386942246,5388.030906664029,76.93061460160652,0.9925166237407445
78,8864.381226807698,5464.961521265635,169.677320357408,0.9924097756649087
79,10638.57253666294,5634.63884162304,204.7371440661545,0.9921741127199679
80,9932.793089237881,5839.375985689197,190.7436216974629,0.9918897555754316
81,6459.553871232141,6030.119607386663,122.7634474529168,0.9916248338786297
82,2900.26477870265,6152.88305483958,54.55361101683684,0.9914543290905006
83,321.1763318891085,6207.436665856416,5.997464338003738,0.9913785601863105
84,-246.7213593916979,6213.434130194422,-4.59985243008714,0.99137023037473
85,-2307.534931640713,6208.834277764339,-42.77789819125792,0.9913766190586607
86,338.344820361748,6166.056379573078,6.318361827074114,0.9914360328061486
87,6368.670894308582,6172.374741400148,121.0038497682553,0.9914272573036109
88,2779.996594039599,6293.378591168406,52.27344588047299,0.9912591964011549
89,159.9442361643786,6345.65203704888,2.985364465901512,0.9911865943929877
90,2885.958899426499,6348.637401514783,54.28230311337393,0.9911824480534517
91,2238.087793772767,6402.919704628161,42.01888974885424,0.9911070559657942
92,4838.933206615835,6444.938594377012,91.52898598544834,0.9910486963966986
93,2858.843339964292,6536.467580362463,53.76812367447928,0.9909215728050521
94,-6.619379991314133,6590.235704036944,-0.1234936191403904,0.9908468948555044
95,4892.87801414296,6590.112210417805,92.56385354491886,0.9908470663744198
96,3270.470599932542,6682.676063962721,61.58226877903599,0.9907185054667184
97,3158.282384923365,6744.25833274176,59.45069906488425,0.9906329745378586
98,4940.023880081978,6803.709031806642,93.468560724501,0.9905504041224907
99,2242.880907420297,6897.177592531147,42.10945063587951,0.99042058667704
100,-944.8971195630604,6939.287043167027,-17.5825364711377,0.9903621013289347
101,-376.9812982633701,6921.704506695891,-7.025865596349831,0.9903865215184779
102,327.3715202653661,6914.678641099539,6.113255511360876,0.9903962796651397
103,306.7866922809076,6920.791896610903,5.728530237880477,0.9903877890324849
104,3137.332793728491,6926.520426848787,59.05281100046523,0.9903798327404878
105,4064.40276842959,6985.573237849252,76.70660435910486,0.9902978149474315
106,3347.889221115189,7062.279842208358,63.05402427107083,0.9901912779969329
107,5255.081639667941,7125.333866479426,99.52083608562316,0.990103702963223
108,3016.689322746241,7224.854702565048,56.76240841072649,0.9899654795797709
109,2826.798787821775,7281.617110975771,53.16058147772719,0.9898866429014225
110,4585.73906605566,7334.777692453494,86.6761397705186,0.9898128087604813
111,7236.820310732405,7421.45383222401,137.851581704474,0.9896924252330223
112,2780.158861693769,7559.305413928481,52.27652125162558,0.9895009647028772
113,2509.193741021938,7611.581935180106,47.14505580819377,0.989428358423361
114,343.8951047614909,7658.726990988302,6.422109191291383,0.989362879179183
115,336.810533714785,7665.149100179591,6.289683108650024,0.9893539595830839
116,-1135.297903382937,7671.438783288244,-21.11439110613219,0.9893452239120997
117,-3380.635517761918,7650.324392182114,-62.48874572799741,0.9893745494553026
118,-992.9650578460889,7587.835646454118,-18.47452598810105,0.9894613393799249
119,347.103528568458,7569.361120466014,6.482083354578208,0.9894869984437972
120,3404.516360910182,7575.84320382059,64.13094374011507,0.9894779955502491
121,3951.313996051899,7639.974147560701,74.54800821420758,0.9893889247950547
122,332.3476274253294,7714.522155774906,6.206264350052152,0.9892853858947571
